offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
157.0 to 157.0,[5],['F5'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
158.0 to 158.0,[5],['F5'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
159.0 to 159.5,"[3, 6, 7]","['E-4', 'E-5', 'F#5', 'G5']","[0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0]"
160.0 to 160.5,"[3, 5]","['E-4', 'E-5', 'F5']","[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]"
161.0 to 161.5,"[0, 2, 3]","['C5', 'D5', 'E-4', 'E-5']","[1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
162.0 to 162.5,"[0, 3, 10]","['B-3', 'B-4', 'C4', 'C5', 'E-5']","[2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
163.0 to 163.5,"[3, 7, 9]","['A3', 'A4', 'E-5', 'G3', 'G4']","[0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0]"
164.0 to 164.5,"[3, 5]","['E-3', 'E-4', 'E-5', 'F3', 'F4']","[0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0]"
165.0 to 165.875,"[2, 4, 5]","['D3', 'D4', 'E5', 'F5']","[0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
166.0 to 166.5,"[2, 3]","['D5', 'E-5']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
167.0 to 167.5,"[0, 10]","['B-4', 'C5']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
168.0 to 168.875,"[0, 9]","['A4', 'C5']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
169.0 to 169.0,"[0, 3, 5]","['C5', 'E-5', 'F3', 'F4']","[1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]"
170.0 to 170.0,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
171.0 to 171.0,"[2, 5, 10]","['B-4', 'D5', 'F3', 'F4']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
172.0 to 172.625,"[0, 3, 5, 9]","['A4', 'C5', 'E-3', 'E-4', 'F3', 'F4']","[1, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0]"
173.0 to 173.5,"[0, 2]","['C3', 'C4', 'D3', 'D4']","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
174.0 to 174.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
175.0 to 175.625,"[2, 10]","['B-2', 'B-3', 'B-4', 'D4']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
176.0 to 176.625,"[7, 10]","['B-2', 'B-3', 'B-5', 'G4']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]"
177.0 to 177.625,"[5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'B-5', 'F4', 'G4']","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 3, 0]"
178.0 to 178.625,"[3, 5, 7, 9, 10]","['A5', 'B-2', 'B-3', 'E-4', 'F4', 'G5']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0]"
179.0 to 179.625,"[2, 3, 5, 7, 10]","['B-2', 'B-3', 'D4', 'E-4', 'F5', 'G5']","[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0]"
180.0 to 180.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
181.0 to 181.625,"[2, 5, 10]","['B-2', 'B-3', 'D4', 'F5']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]"
182.0 to 182.625,"[2, 6, 10]","['B-2', 'B-3', 'D4', 'F#5']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0]"
183.0 to 183.625,"[3, 7, 10]","['B-2', 'B-3', 'E-4', 'G5']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
184.0 to 184.0,"[3, 10]","['B-2', 'B-3', 'E-4']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]"
