offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
141.0 to 141.5,[10],"['B-2', 'B-3', 'B-4']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
142.0 to 142.5,[7],"['G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
143.0 to 143.5,[0],"['C3', 'C4', 'C5']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
144.0 to 144.0,[5],"['F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
145.0 to 145.5,"[0, 5]","['C3', 'F4']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
146.0 to 146.0,[5],['F2'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
147.0 to 147.0,[5],"['F3', 'F4']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
148.0 to 148.0,"[5, 9]","['A4', 'F2', 'F3', 'F4']","[0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0]"
149.0 to 149.0,"[0, 4, 5, 9]","['A2', 'C5', 'E4', 'F3', 'F4']","[1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0]"
150.0 to 150.0,"[2, 5, 10]","['B-2', 'D4', 'D5', 'F3', 'F4']","[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
151.0 to 151.0,"[2, 10]","['B-2', 'D3', 'D4', 'D5']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
152.0 to 152.0,"[2, 6, 10]","['B-2', 'D4', 'D5', 'F#3', 'F#4']","[0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0]"
153.0 to 153.0,"[2, 7, 10]","['B-2', 'D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
154.0 to 154.0,"[7, 11]","['B4', 'G2', 'G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]"
155.0 to 155.0,"[2, 5, 7, 11]","['B2', 'D5', 'F4', 'G3', 'G4']","[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]"
156.0 to 156.0,"[0, 4, 7]","['C3', 'E4', 'E5', 'G3', 'G4']","[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
157.0 to 157.0,"[0, 4]","['C3', 'E3', 'E4', 'E5']","[1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
158.0 to 158.0,"[0, 4, 8]","['C3', 'E4', 'E5', 'G#3', 'G#4']","[1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
159.0 to 159.0,"[0, 4, 9]","['A3', 'A4', 'C3', 'E4', 'E5']","[1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]"
160.0 to 160.0,"[1, 9]","['A2', 'A3', 'A4', 'C#5']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
161.0 to 161.0,"[1, 4, 7, 9]","['A3', 'A4', 'C#3', 'E5', 'G4']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0]"
162.0 to 162.0,"[2, 5, 9]","['A3', 'A4', 'D3', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0]"
163.0 to 163.0,"[2, 5, 10]","['B-3', 'B-4', 'D3', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0]"
164.0 to 164.0,"[2, 5, 10]","['B-3', 'B-4', 'D3', 'F4', 'F5']","[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0]"
165.0 to 165.0,"[1, 4, 7, 10]","['B-3', 'B-4', 'C#3', 'E5', 'G4']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0]"
166.0 to 166.0,"[1, 4, 7, 8]","['C#3', 'E5', 'G#3', 'G#4', 'G4']","[0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0]"
167.0 to 167.0,"[1, 4, 7, 9]","['A3', 'A4', 'C#3', 'E5', 'G4']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0]"
168.0 to 168.0,"[0, 3, 7, 9]","['A3', 'A4', 'C3', 'E-5', 'G4']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0]"
169.0 to 169.0,"[0, 3, 7]","['C3', 'C4', 'C5', 'E-5', 'G4']","[3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
170.0 to 170.0,"[0, 3, 6, 9]","['A3', 'A4', 'C3', 'E-5', 'F#4']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0]"
171.0 to 171.0,"[2, 6, 9, 11]","['A3', 'A4', 'B2', 'D5', 'F#4']","[0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1]"
172.0 to 172.0,"[2, 6, 11]","['B2', 'D5', 'F#3', 'F#4']","[0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1]"
173.0 to 173.0,"[2, 5, 7, 11]","['B2', 'D5', 'F4', 'G3', 'G4']","[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]"
174.0 to 174.0,"[2, 5, 7, 10]","['B-2', 'D5', 'F4', 'G3', 'G4']","[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0]"
175.0 to 175.0,"[2, 5, 10]","['B-2', 'B-3', 'B-4', 'D5', 'F4']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0]"
176.0 to 176.0,"[2, 4, 7, 10]","['B-2', 'D5', 'E4', 'G3', 'G4']","[0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0]"
177.0 to 177.0,"[1, 4, 7, 9]","['A2', 'C#5', 'E4', 'G3', 'G4']","[0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]"
178.0 to 178.0,"[1, 4, 6, 9]","['A2', 'C#5', 'E4', 'F#3', 'F#4']","[0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0]"
179.0 to 179.0,"[2, 7, 10]","['B-2', 'D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
180.0 to 180.0,"[1, 4, 7, 9]","['A2', 'C#5', 'E4', 'G3', 'G4']","[0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]"
181.0 to 181.0,"[1, 4, 6, 9]","['A2', 'C#5', 'E4', 'F#3', 'F#4']","[0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0]"
182.0 to 182.0,"[2, 7, 10]","['B-2', 'D4', 'D5', 'G3', 'G4']","[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
183.0 to 183.0,"[1, 4, 7, 9]","['A2', 'C#5', 'E4', 'G3', 'G4']","[0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0]"
184.0 to 184.0,"[1, 4, 7, 9]","['A2', 'A3', 'C#5', 'E4', 'G4']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0]"
185.0 to 185.0,"[1, 4, 7, 9]","['A2', 'A3', 'C#5', 'E4', 'G4']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0]"
