offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
156.0 to 156.0,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,0.5222329678670935,"[0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785]"
157.0 to 157.875,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0]",b-Minor,0.6172133998483675,"[-3.426222638094154e-17, -0.30860669992418377, -2.1413891488088462e-17, 0.3086066999241837, -0.30860669992418377, -1.713111319047077e-17, 0.3086066999241837, -3.426222638094154e-17, -3.426222638094154e-17, -0.30860669992418377, 0.6172133998483674, -0.30860669992418377, -1.713111319047077e-17, 0.3086066999241837, -3.426222638094154e-17, -3.426222638094154e-17, -0.30860669992418377, -3.426222638094154e-17, 0.3086066999241837, -0.30860669992418377, -1.713111319047077e-17, -0.30860669992418377, 0.6172133998483675, -0.30860669992418377]"
158.0 to 158.875,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]",dMajor,0.6172133998483675,"[-0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -5.139333957141231e-17, -0.30860669992418377, -1.713111319047077e-17, -4.282778297617692e-18, 0.30860669992418377, -0.3086066999241839, -1.713111319047077e-17, 0.6172133998483675, -0.3086066999241839, -1.713111319047077e-17, -3.426222638094154e-17, 0.30860669992418377, -0.3086066999241839, -0.30860669992418377, 0.6172133998483675, -5.139333957141231e-17, -0.3086066999241839, -0.30860669992418377, 0.0, 0.6172133998483675, -0.30860669992418377]"
159.0 to 159.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",e-Major,0.727606875108999,"[0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297]"
160.0 to 160.5,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",dMajor,0.408248290463863,"[-4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, 0.408248290463863, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, -2.2662332591841973e-17, -4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -0.4082482904638631, -2.2662332591841973e-17, -2.2662332591841973e-17, 0.408248290463863, -0.408248290463863]"
161.0 to 161.875,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]",dMajor,0.7453559924999298,"[-0.14907119849998596, -0.44721359549995787, 0.7453559924999298, 0.14907119849998596, -0.44721359549995787, -0.14907119849998596, 0.14907119849998596, 0.44721359549995787, -0.44721359549995787, -0.14907119849998596, 0.44721359549995787, -0.14907119849998596, -0.14907119849998596, -0.14907119849998596, 0.44721359549995787, -0.14907119849998596, -0.44721359549995787, 0.44721359549995787, 0.14907119849998596, -0.14907119849998596, -0.44721359549995787, 0.14907119849998596, 0.7453559924999298, -0.44721359549995787]"
162.0 to 162.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",e-Major,0.727606875108999,"[0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297]"
163.0 to 163.5,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",dMajor,0.408248290463863,"[-4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, 0.408248290463863, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, -2.2662332591841973e-17, -4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -0.4082482904638631, -2.2662332591841973e-17, -2.2662332591841973e-17, 0.408248290463863, -0.408248290463863]"
164.0 to 164.875,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]",dMajor,0.7453559924999298,"[-0.14907119849998596, -0.44721359549995787, 0.7453559924999298, 0.14907119849998596, -0.44721359549995787, -0.14907119849998596, 0.14907119849998596, 0.44721359549995787, -0.44721359549995787, -0.14907119849998596, 0.44721359549995787, -0.14907119849998596, -0.14907119849998596, -0.14907119849998596, 0.44721359549995787, -0.14907119849998596, -0.44721359549995787, 0.44721359549995787, 0.14907119849998596, -0.14907119849998596, -0.44721359549995787, 0.14907119849998596, 0.7453559924999298, -0.44721359549995787]"
165.0 to 165.875,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",e-Major,0.727606875108999,"[0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, -0.24253562503633297, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297]"
