offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
0.0 to 0.0,"[0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]",dMinor,0.6793662204867577,"[-0.22645540682891918, -0.22645540682891918, 0.6793662204867575, -0.22645540682891918, -0.22645540682891918, -0.22645540682891918, 1.2570800335616149e-17, 0.45291081365783836, -0.22645540682891918, -0.22645540682891918, 0.45291081365783836, 1.2570800335616149e-17, -0.22645540682891918, -0.22645540682891918, 0.6793662204867577, -0.22645540682891915, -0.22645540682891918, 0.4529108136578383, 1.2570800335616149e-17, -0.22645540682891918, -0.22645540682891918, 1.2570800335616149e-17, 0.45291081365783836, -0.22645540682891918]"
2.0 to 2.875,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 2, 0, 0]",dMajor,0.6764814252025461,"[0.07516460280028295, -0.22549380840084862, 0.6764814252025461, -0.22549380840084862, -0.22549380840084865, 0.0751646028002829, 0.07516460280028292, 0.07516460280028295, -0.5261522196019802, 0.6764814252025461, -0.22549380840084862, -0.22549380840084862, 0.3758230140014145, -0.22549380840084862, 0.07516460280028295, -0.22549380840084862, 0.07516460280028293, 0.3758230140014145, -0.22549380840084862, 0.07516460280028292, -0.5261522196019802, 0.6764814252025461, 0.07516460280028295, -0.5261522196019802]"
3.0 to 3.875,"[0, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0]",dMajor,0.6139601294045425,"[-0.055814557218594775, -0.2790727860929738, 0.6139601294045425, -0.05581455721859477, -0.2790727860929738, -0.2790727860929738, -0.055814557218594775, 0.6139601294045424, -0.2790727860929738, -0.2790727860929738, 0.39070190053016335, -0.05581455721859477, -0.2790727860929738, -0.2790727860929738, 0.6139601294045424, -0.05581455721859477, -0.2790727860929738, 0.39070190053016335, -0.05581455721859477, -0.055814557218594775, -0.2790727860929738, -0.055814557218594775, 0.6139601294045424, -0.2790727860929738]"
4.0 to 4.5,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",fMinor,0.2581988897471611,"[0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.2581988897471611, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611]"
5.0 to 5.5,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",f#Major,0.2581988897471611,"[-0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.2581988897471611, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104]"
6.0 to 6.5,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",dMajor,0.408248290463863,"[-4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, -4.5324665183683945e-17, -2.2662332591841973e-17, -2.832791573980247e-17, 0.408248290463863, -0.408248290463863, -2.2662332591841973e-17, -0.4082482904638631, 0.408248290463863, -2.2662332591841973e-17, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, -0.408248290463863, 0.0, -4.5324665183683945e-17, 0.408248290463863, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, 0.0]"
7.0 to 7.5,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",cMajor,0.408248290463863,"[0.408248290463863, -0.408248290463863, 0.40824829046386296, -4.5324665183683945e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, -4.5324665183683945e-17, -4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -0.408248290463863, -4.5324665183683945e-17, 0.408248290463863, -0.408248290463863, -4.5324665183683945e-17, -6.79869977755259e-17, -2.2662332591841973e-17, 0.0, -4.5324665183683945e-17, 0.408248290463863, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, -0.408248290463863]"
8.0 to 8.5,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",cMajor,0.408248290463863,"[0.408248290463863, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, -9.064933036736789e-17, -0.408248290463863, -5.665583147960493e-17, 0.408248290463863, -0.408248290463863, -4.5324665183683945e-17, -1.1331166295920986e-17, -4.5324665183683945e-17, -4.5324665183683945e-17, -0.4082482904638631, 0.408248290463863, -4.5324665183683945e-17, -4.5324665183683945e-17, -2.2662332591841973e-17, -4.5324665183683945e-17, 0.40824829046386296, -0.408248290463863, -4.5324665183683945e-17, 0.408248290463863, -0.4082482904638631]"
9.0 to 9.875,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",aMajor,0.9258200997725514,"[-1.713111319047077e-17, 0.0, 0.30860669992418377, -0.30860669992418377, -3.426222638094154e-17, 0.30860669992418377, -2.5696669785706156e-17, -0.30860669992418377, -0.30860669992418377, 0.9258200997725514, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -1.713111319047077e-17, -0.30860669992418377, -0.30860669992418377, 0.30860669992418377, 0.30860669992418377, -0.30860669992418377, -2.5696669785706156e-17, -0.30860669992418377, 0.6172133998483675, -0.30860669992418377, -0.3086066999241839]"
10.0 to 10.875,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 2, 0, 0]",dMajor,0.6764814252025461,"[0.07516460280028295, -0.22549380840084862, 0.6764814252025461, -0.22549380840084862, -0.22549380840084865, 0.0751646028002829, 0.07516460280028292, 0.07516460280028295, -0.5261522196019802, 0.6764814252025461, -0.22549380840084862, -0.22549380840084862, 0.3758230140014145, -0.22549380840084862, 0.07516460280028295, -0.22549380840084862, 0.07516460280028293, 0.3758230140014145, -0.22549380840084862, 0.07516460280028292, -0.5261522196019802, 0.6764814252025461, 0.07516460280028295, -0.5261522196019802]"
