offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
99.0 to 99.5,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",gMajor,0.5222329678670937,"[-0.17407765595569788, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569788, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785]"
100.0 to 100.5,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMinor,0.9258200997725514,"[-0.30860669992418377, -1.713111319047077e-17, 0.6172133998483675, -0.3086066999241839, -0.30860669992418377, 0.30860669992418377, -0.3086066999241839, 0.30860669992418377, -0.3086066999241839, -1.713111319047077e-17, 0.6172133998483675, -0.3086066999241839, -1.713111319047077e-17, -1.713111319047077e-17, 0.30860669992418377, -0.3086066999241839, -0.30860669992418377, 0.9258200997725514, -0.3086066999241839, -0.30860669992418377, -1.713111319047077e-17, -1.713111319047077e-17, 0.30860669992418377, -0.30860669992418377]"
101.0 to 101.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMinor,0.8372183582789214,"[-0.2790727860929738, -0.05581455721859476, 0.6139601294045424, -0.2790727860929738, -0.2790727860929738, 0.16744367165578425, -0.27907278609297376, 0.39070190053016324, -0.2790727860929738, -0.05581455721859476, 0.6139601294045424, -0.2790727860929738, -0.05581455721859476, -0.05581455721859477, 0.39070190053016324, -0.2790727860929738, -0.2790727860929738, 0.8372183582789214, -0.2790727860929738, -0.2790727860929738, -0.05581455721859476, -0.055814557218594754, 0.39070190053016324, -0.2790727860929738]"
102.0 to 102.5,"[0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0]",dMajor,0.6970966755769257,"[-0.06337242505244778, -0.316862125262239, 0.6970966755769257, -0.3168621252622389, -0.06337242505244776, 0.19011727515734342, -0.3168621252622389, 0.19011727515734342, -0.3168621252622389, 0.4436069753671345, 0.1901172751573434, -0.3168621252622389, 0.4436069753671345, -0.316862125262239, 0.19011727515734342, -0.31686212526223884, -0.06337242505244776, 0.6970966755769257, -0.3168621252622389, -0.06337242505244776, -0.316862125262239, 0.1901172751573434, 0.19011727515734342, -0.3168621252622389]"
103.0 to 103.5,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",aMajor,0.727606875108999,"[-0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297]"
104.0 to 104.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]",dMajor,0.5222329678670935,"[-0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785]"
105.0 to 105.5,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fMajor,0.5222329678670937,"[0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569788, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785, -0.17407765595569788, -0.17407765595569788]"
106.0 to 106.5,"[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",e-Minor,0.9258200997725514,"[0.6172133998483675, -0.3086066999241839, -0.30860669992418377, 0.30860669992418377, -0.30860669992418377, 0.30860669992418377, -0.3086066999241839, -1.713111319047077e-17, 0.6172133998483675, -0.3086066999241839, -0.30860669992418377, -1.713111319047077e-17, 0.30860669992418377, -0.3086066999241839, -0.30860669992418377, 0.9258200997725514, -0.3086066999241839, -0.30860669992418377, -1.713111319047077e-17, -1.713111319047077e-17, 0.30860669992418377, -0.30860669992418377, -1.713111319047077e-17, -1.713111319047077e-17]"
107.0 to 107.5,"[3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",e-Minor,0.8372183582789215,"[0.6139601294045425, -0.2790727860929738, -0.2790727860929738, 0.16744367165578428, -0.2790727860929738, 0.39070190053016335, -0.2790727860929738, -0.05581455721859477, 0.6139601294045425, -0.2790727860929738, -0.2790727860929738, -0.05581455721859477, 0.39070190053016335, -0.2790727860929738, -0.2790727860929738, 0.8372183582789215, -0.2790727860929738, -0.2790727860929738, -0.05581455721859477, -0.05581455721859476, 0.39070190053016335, -0.2790727860929738, -0.05581455721859477, -0.055814557218594775]"
108.0 to 108.5,"[2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]",cMajor,0.6970966755769257,"[0.6970966755769257, -0.3168621252622389, -0.06337242505244776, 0.19011727515734342, -0.3168621252622389, 0.19011727515734347, -0.3168621252622389, 0.4436069753671346, 0.1901172751573434, -0.3168621252622389, -0.06337242505244778, -0.3168621252622389, 0.19011727515734347, -0.31686212526223884, -0.06337242505244776, 0.6970966755769257, -0.3168621252622389, -0.06337242505244776, -0.3168621252622389, 0.1901172751573434, 0.19011727515734347, -0.3168621252622389, 0.4436069753671346, -0.316862125262239]"
109.0 to 109.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]",gMajor,0.727606875108999,"[0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217]"
110.0 to 110.5,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,0.5222329678670935,"[0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785]"
111.0 to 111.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",c#Minor,0.5222329678670936,"[-0.17407765595569785, -0.17407765595569785, -0.17407765595569782, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670936, -0.17407765595569785, -0.17407765595569782, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569782, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569782]"
112.0 to 112.5,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]",b-Major,0.9258200997725513,"[-0.30860669992418377, -1.713111319047077e-17, -2.1413891488088462e-17, 0.3086066999241837, -0.30860669992418377, -1.713111319047077e-17, 0.3086066999241837, -3.426222638094154e-17, -0.30860669992418377, -0.30860669992418377, 0.9258200997725513, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -3.426222638094154e-17, -0.30860669992418377, -0.30860669992418377, 0.3086066999241837, 0.3086066999241837, -0.30860669992418377, -1.713111319047077e-17, -0.30860669992418377, 0.6172133998483675, -0.30860669992418377]"
113.0 to 113.5,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0]",b-Major,0.8372183582789213,"[-0.27907278609297376, -0.05581455721859476, -0.05581455721859476, 0.39070190053016324, -0.27907278609297376, -0.05581455721859476, 0.39070190053016324, -0.055814557218594754, -0.27907278609297376, -0.27907278609297376, 0.8372183582789213, -0.27907278609297376, -0.27907278609297376, 0.6139601294045423, -0.055814557218594754, -0.27907278609297376, -0.27907278609297376, 0.16744367165578422, 0.39070190053016324, -0.27907278609297376, -0.05581455721859476, -0.27907278609297376, 0.6139601294045423, -0.27907278609297376]"
