offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
0.0 to 0.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,0.727606875108999,"[0.727606875108999, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297]"
2.0 to 2.875,"[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0]",gMajor,0.5261522196019803,"[0.5261522196019802, -0.07516460280028286, -0.07516460280028286, 0.22549380840084873, -0.07516460280028285, -0.07516460280028286, -0.3758230140014145, 0.5261522196019803, -0.3758230140014145, -0.07516460280028286, 0.22549380840084865, -0.3758230140014144, -0.07516460280028286, -0.07516460280028286, -0.07516460280028286, 0.2254938084008487, -0.07516460280028286, 0.22549380840084865, -0.3758230140014144, 0.5261522196019802, -0.07516460280028286, -0.3758230140014144, 0.5261522196019803, -0.3758230140014145]"
3.0 to 3.875,"[2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",cMajor,0.6172133998483675,"[0.6172133998483675, -3.426222638094154e-17, -0.30860669992418377, -0.30860669992418377, -3.426222638094154e-17, 0.6172133998483674, -0.30860669992418377, -0.30860669992418377, 0.3086066999241837, -3.426222638094154e-17, -3.426222638094154e-17, -0.30860669992418377, 0.6172133998483674, -4.2827782976176925e-17, -0.30860669992418377, 0.3086066999241837, -3.426222638094154e-17, -3.426222638094154e-17, -0.30860669992418377, -3.426222638094154e-17, 0.6172133998483674, -0.30860669992418377, -0.30860669992418377, -0.30860669992418377]"
4.0 to 4.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",cMajor,0.25819888974716115,"[0.25819888974716115, -0.25819888974716115, 0.25819888974716104, 0.2581988897471611, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.2581988897471611, 0.2581988897471611, -0.25819888974716115]"
5.0 to 5.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",e-Major,0.5222329678670936,"[0.5222329678670935, -0.17407765595569785, -0.17407765595569782, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569782, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670936, -0.17407765595569785]"
6.0 to 6.0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fMajor,0.5222329678670937,"[0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569788, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785, -0.17407765595569788, -0.17407765595569788]"
7.0 to 7.875,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1]",cMajor,0.6970966755769258,"[0.6970966755769258, -0.3168621252622389, -0.3168621252622389, -0.316862125262239, 0.4436069753671345, 0.19011727515734342, -0.3168621252622389, -0.06337242505244776, 0.1901172751573434, 0.19011727515734342, -0.3168621252622389, -0.06337242505244776, 0.6970966755769257, -0.316862125262239, -0.06337242505244776, 0.19011727515734336, 0.19011727515734342, -0.3168621252622389, -0.316862125262239, 0.4436069753671345, 0.19011727515734342, -0.3168621252622389, -0.316862125262239, -0.06337242505244776]"
8.0 to 8.875,"[3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",cMajor,0.6139601294045424,"[0.6139601294045424, -0.2790727860929738, -0.05581455721859476, -0.05581455721859476, -0.2790727860929738, 0.6139601294045424, -0.2790727860929738, -0.05581455721859476, 0.3907019005301634, -0.05581455721859478, -0.2790727860929738, -0.2790727860929738, 0.6139601294045424, -0.2790727860929738, -0.2790727860929738, 0.6139601294045424, -0.2790727860929738, -0.055814557218594754, -0.2790727860929738, -0.055814557218594726, 0.39070190053016324, -0.05581455721859476, -0.05581455721859476, -0.2790727860929738]"
9.0 to 9.875,"[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,0.5261522196019803,"[0.22549380840084865, -0.07516460280028286, 0.2254938084008487, -0.07516460280028286, -0.3758230140014144, 0.2254938084008487, -0.3758230140014145, 0.5261522196019803, -0.07516460280028285, -0.3758230140014145, 0.5261522196019802, -0.3758230140014144, -0.07516460280028286, -0.07516460280028286, 0.22549380840084873, 0.2254938084008487, -0.3758230140014145, 0.5261522196019802, -0.3758230140014144, -0.07516460280028288, 0.2254938084008487, -0.3758230140014145, 0.5261522196019803, -0.3758230140014145]"
10.0 to 10.875,"[0, 0, 0, 0, 1, 1, 0, 3, 0, 0, 0, 1]",gMinor,0.7777777777777778,"[0.5555555555555556, -0.1111111111111111, -0.33333333333333326, 0.33333333333333326, 0.1111111111111111, -0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, -0.1111111111111111, 0.33333333333333326, -0.1111111111111111, -0.1111111111111111, -0.33333333333333326, 0.7777777777777778, -0.1111111111111111, -0.33333333333333326, 0.33333333333333326, -0.1111111111111111]"
