offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
0.0 to 0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",c#Minor,0.5222329678670936,"[-0.17407765595569785, -0.17407765595569785, -0.17407765595569782, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670936, -0.17407765595569785, -0.17407765595569782, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569782, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569782]"
1.0 to 1.0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",e-Major,0.7745966692414831,"[0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104]"
2.0 to 2.25,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",e-Major,0.7745966692414831,"[0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104]"
3.0 to 3.0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",b-Major,0.2581988897471611,"[0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611]"
4.0 to 4.75,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",c#Major,0.5555555555555556,"[0.1111111111111111, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111]"
5.0 to 5.875,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",c#Major,0.5555555555555556,"[-0.33333333333333326, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556]"
6.0 to 6.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",b-Major,0.7745966692414831,"[-0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471612, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471612]"
7.0 to 7.75,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",b-Major,0.7745966692414831,"[-0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611]"
8.0 to 8.25,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",b-Major,0.7745966692414831,"[-0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471612, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471612]"
9.0 to 9.0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",g#Major,0.7745966692414831,"[-0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831]"
10.0 to 10.75,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",e-Major,0.5555555555555556,"[0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111]"
11.0 to 11.875,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",e-Major,0.5555555555555556,"[0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.5555555555555556, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111]"
12.0 to 12.875,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",g#Major,0.7745966692414831,"[0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.2581988897471612, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471612, -0.2581988897471611, 0.25819888974716104]"
13.0 to 13.0,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,0.7745966692414831,"[0.7745966692414831, -0.25819888974716115, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, -0.25819888974716115, 0.25819888974716104, -0.25819888974716115, -0.25819888974716115, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, -0.25819888974716115, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611]"
14.0 to 14.25,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",fMajor,0.7745966692414831,"[0.25819888974716104, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, -0.25819888974716115]"
15.0 to 15.875,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",e-Major,0.7745966692414831,"[-0.2581988897471611, -0.2581988897471611, -0.2581988897471612, 0.7745966692414831, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.25819888974716115, 0.7745966692414831, -0.2581988897471611, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104]"
16.0 to 16.875,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",fMinor,0.2581988897471611,"[-0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, -0.2581988897471611, -0.2581988897471611, 0.25819888974716104, -0.25819888974716115, 0.25819888974716104, 0.2581988897471611, -0.25819888974716115, -0.2581988897471611, 0.25819888974716104, -0.2581988897471611, 0.25819888974716104, 0.25819888974716104]"
17.0 to 17.875,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",e-Minor,0.6831300510639732,"[0.29277002188455986, -0.09759000729485329, -0.0975900072948533, 0.29277002188455986, -0.4879500364742665, 0.29277002188455997, -0.4879500364742666, 0.29277002188455986, 0.29277002188455986, -0.4879500364742666, 0.29277002188455986, -0.0975900072948533, -0.09759000729485329, -0.09759000729485326, -0.0975900072948533, 0.6831300510639732, -0.4879500364742666, 0.29277002188455986, -0.0975900072948533, -0.0975900072948533, 0.29277002188455997, -0.4879500364742666, 0.29277002188455986, -0.0975900072948533]"
18.0 to 18.0,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",b-Major,1.0,"[-0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 1.0, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326]"
19.0 to 19.75,"[0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0]",b-Major,0.8268106308031118,"[-0.3758230140014144, 0.5261522196019802, -0.07516460280028288, -0.07516460280028288, -0.07516460280028286, 0.22549380840084873, -0.07516460280028288, -0.07516460280028288, -0.07516460280028288, -0.3758230140014144, 0.8268106308031118, -0.3758230140014145, -0.3758230140014144, 0.5261522196019802, -0.07516460280028288, -0.3758230140014145, -0.07516460280028285, 0.5261522196019802, -0.07516460280028288, -0.3758230140014144, 0.5261522196019802, -0.3758230140014144, 0.2254938084008487, -0.07516460280028286]"
20.0 to 20.75,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0]",e-Major,0.9258200997725514,"[0.30860669992418377, -0.30860669992418377, -0.30860669992418377, 0.9258200997725514, -0.3086066999241839, -0.30860669992418377, -3.426222638094154e-17, 0.30860669992418377, -2.5696669785706156e-17, -0.30860669992418377, 0.0, 0.0, -0.30860669992418377, -2.5696669785706156e-17, -0.3086066999241839, 0.6172133998483675, -0.30860669992418377, -0.30860669992418377, 0.30860669992418377, 0.30860669992418377, -0.30860669992418377, -0.3086066999241839, 0.6172133998483675, -1.713111319047077e-17]"
