offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
157.0 to 157.0,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]",b-Major,0.9258200997725513,"[-0.30860669992418377, -1.713111319047077e-17, -2.1413891488088462e-17, 0.3086066999241837, -0.30860669992418377, -1.713111319047077e-17, 0.3086066999241837, -3.426222638094154e-17, -0.30860669992418377, -0.30860669992418377, 0.9258200997725513, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -3.426222638094154e-17, -0.30860669992418377, -0.30860669992418377, 0.3086066999241837, 0.3086066999241837, -0.30860669992418377, -1.713111319047077e-17, -0.30860669992418377, 0.6172133998483675, -0.30860669992418377]"
158.0 to 158.875,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0]",b-Major,0.6970966755769258,"[-0.3168621252622389, -0.316862125262239, 0.19011727515734342, 0.4436069753671345, -0.3168621252622389, -0.316862125262239, 0.1901172751573434, 0.19011727515734342, -0.06337242505244778, -0.316862125262239, 0.6970966755769258, -0.06337242505244779, -0.316862125262239, 0.19011727515734342, 0.19011727515734342, -0.06337242505244778, -0.316862125262239, 0.1901172751573434, 0.4436069753671345, -0.316862125262239, -0.316862125262239, -0.3168621252622389, 0.6970966755769257, -0.06337242505244776]"
159.0 to 159.875,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]",b-Major,0.6139601294045423,"[-0.055814557218594775, -0.27907278609297376, -0.05581455721859476, 0.39070190053016324, -0.27907278609297376, -0.05581455721859476, 0.39070190053016324, -0.055814557218594754, -0.055814557218594754, -0.27907278609297376, 0.6139601294045423, -0.27907278609297376, -0.05581455721859476, 0.39070190053016324, -0.055814557218594754, -0.055814557218594775, -0.27907278609297376, -0.055814557218594754, 0.39070190053016324, -0.2790727860929737, -0.05581455721859476, -0.27907278609297376, 0.6139601294045423, -0.27907278609297376]"
160.0 to 160.0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]",e-Major,0.9258200997725514,"[-2.5696669785706156e-17, -0.30860669992418377, -0.30860669992418377, 0.9258200997725514, -0.3086066999241839, -0.30860669992418377, 0.30860669992418377, 0.0, -2.5696669785706156e-17, -0.30860669992418377, 0.30860669992418377, 0.0, -0.30860669992418377, 0.30860669992418377, -0.30860669992418377, 0.30860669992418377, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -3.426222638094154e-17, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -3.426222638094154e-17]"
161.0 to 161.875,"[0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0]",e-Major,0.6970966755769257,"[-0.3168621252622389, -0.06337242505244776, -0.31686212526223884, 0.6970966755769257, -0.3168621252622389, -0.06337242505244776, 0.1901172751573434, -0.3168621252622389, 0.19011727515734342, -0.316862125262239, 0.4436069753671346, 0.19011727515734342, -0.316862125262239, 0.4436069753671345, -0.3168621252622389, 0.19011727515734342, -0.316862125262239, -0.06337242505244774, 0.6970966755769257, -0.316862125262239, -0.06337242505244776, -0.3168621252622389, 0.19011727515734342, 0.1901172751573434]"
162.0 to 162.875,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]",b-Major,0.5261522196019803,"[-0.07516460280028286, -0.3758230140014145, -0.07516460280028288, 0.5261522196019802, -0.3758230140014144, -0.07516460280028286, 0.2254938084008487, -0.07516460280028289, 0.2254938084008487, -0.3758230140014145, 0.5261522196019803, -0.07516460280028289, -0.07516460280028286, 0.22549380840084873, -0.07516460280028289, 0.22549380840084865, -0.3758230140014145, -0.07516460280028286, 0.5261522196019802, -0.3758230140014144, -0.07516460280028286, -0.3758230140014144, 0.5261522196019802, -0.07516460280028286]"
163.0 to 163.0,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]",e-Major,0.6172133998483675,"[-3.426222638094154e-17, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -0.30860669992418377, -1.713111319047077e-17, 0.3086066999241837, -0.30860669992418377, 0.3086066999241837, -0.30860669992418377, 0.3086066999241837, -3.426222638094154e-17, -1.713111319047077e-17, 0.3086066999241837, -0.30860669992418377, 0.30860669992418377, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -0.30860669992418377, -1.713111319047077e-17, -0.30860669992418377, 0.3086066999241837, -3.854500467855923e-17]"
164.0 to 164.875,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0]",b-Major,0.5261522196019803,"[-0.07516460280028286, -0.3758230140014145, -0.07516460280028288, 0.5261522196019802, -0.3758230140014144, -0.07516460280028286, 0.2254938084008487, -0.07516460280028289, 0.2254938084008487, -0.3758230140014145, 0.5261522196019803, -0.07516460280028289, -0.07516460280028286, 0.22549380840084873, -0.07516460280028289, 0.22549380840084865, -0.3758230140014145, -0.07516460280028286, 0.5261522196019802, -0.3758230140014144, -0.07516460280028286, -0.3758230140014144, 0.5261522196019802, -0.07516460280028286]"
165.0 to 165.875,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0]",e-Major,0.6139601294045423,"[-0.27907278609297376, -0.27907278609297376, -0.0558145572185948, 0.6139601294045423, -0.27907278609297376, -0.05581455721859476, 0.39070190053016324, -0.27907278609297376, -0.055814557218594754, -0.05581455721859476, 0.39070190053016324, -0.05581455721859475, -0.05581455721859476, 0.39070190053016324, -0.27907278609297376, -0.05581455721859476, -0.27907278609297376, -0.055814557218594775, 0.6139601294045423, -0.2790727860929737, -0.27907278609297376, -0.055814557218594775, 0.39070190053016324, -0.055814557218594754]"
166.0 to 166.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]",b-Major,0.6793662204867574,"[-0.22645540682891915, -0.22645540682891915, 1.2570800335616148e-17, 0.4529108136578383, -0.22645540682891915, -0.22645540682891915, 0.4529108136578383, 1.2570800335616148e-17, -0.22645540682891915, -0.22645540682891915, 0.6793662204867574, -0.22645540682891915, -0.22645540682891915, 0.45291081365783836, 1.2570800335616148e-17, -0.22645540682891913, -0.22645540682891915, 6.285400167808074e-18, 0.4529108136578383, -0.22645540682891915, -0.22645540682891915, -0.22645540682891915, 0.6793662204867574, -0.22645540682891913]"
