offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
216.0 to 216.25,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMajor,0.727606875108999,"[-0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297]"
217.0 to 217.25,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMajor,0.727606875108999,"[-0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297]"
218.0 to 218.25,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMajor,0.727606875108999,"[-0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297]"
219.0 to 219.875,"[1, 0, 0, 0, 0, 2, 0, 1, 0, 2, 1, 0]",fMajor,0.8238415256818212,"[0.06337242505244785, 0.06337242505244779, 0.06337242505244785, 0.06337242505244785, -0.4436069753671345, 0.8238415256818212, -0.1901172751573433, -0.1901172751573433, -0.1901172751573433, 0.06337242505244779, 0.316862125262239, -0.4436069753671345, 0.316862125262239, 0.316862125262239, -0.4436069753671345, 0.06337242505244785, -0.4436069753671345, 0.5703518254720301, -0.1901172751573433, -0.19011727515734336, 0.316862125262239, 0.06337242505244782, 0.06337242505244785, -0.4436069753671345]"
220.0 to 220.0,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMajor,0.727606875108999,"[-0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297]"
221.0 to 221.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c#Major,0.5222329678670936,"[-0.17407765595569782, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569782, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785]"
222.0 to 222.25,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",b-Major,1.0,"[-0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 1.0, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326]"
223.0 to 223.25,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",b-Major,1.0,"[-0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 1.0, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326]"
224.0 to 224.25,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",b-Major,1.0,"[-0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 1.0, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326]"
225.0 to 225.875,"[1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 1, 0]",b-Major,0.7453559924999298,"[0.14907119849998596, 0.14907119849998596, -0.14907119849998596, -0.14907119849998596, -0.14907119849998596, 0.44721359549995787, -0.14907119849998596, -0.14907119849998596, -0.14907119849998596, -0.14907119849998596, 0.7453559924999298, -0.44721359549995787, 0.14907119849998596, 0.44721359549995787, -0.14907119849998596, -0.14907119849998596, -0.14907119849998596, 0.44721359549995787, -0.14907119849998596, -0.14907119849998596, 0.44721359549995787, -0.44721359549995787, 0.14907119849998596, -0.44721359549995787]"
226.0 to 226.0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,1.0,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 1.0, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326]"
227.0 to 227.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c#Major,0.5222329678670936,"[-0.17407765595569782, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569782, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785, 0.5222329678670935, -0.17407765595569785, -0.17407765595569785, 0.5222329678670936, -0.17407765595569785, -0.17407765595569785, -0.17407765595569785]"
228.0 to 228.875,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",b-Major,0.816496580927726,"[-4.5324665183683945e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, 0.408248290463863, -0.408248290463863, -2.2662332591841973e-17, -1.1331166295920986e-17, 0.408248290463863, -0.408248290463863, -0.408248290463863, 0.816496580927726, -0.408248290463863, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -2.832791573980247e-17, -0.408248290463863, 0.40824829046386296, -2.2662332591841973e-17, -1.1331166295920986e-17, -2.2662332591841973e-17, -0.408248290463863, 0.816496580927726, -0.4082482904638631]"
229.0 to 229.875,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",b-Major,0.816496580927726,"[-4.5324665183683945e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, 0.408248290463863, -0.408248290463863, -2.2662332591841973e-17, -1.1331166295920986e-17, 0.408248290463863, -0.408248290463863, -0.408248290463863, 0.816496580927726, -0.408248290463863, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -2.832791573980247e-17, -0.408248290463863, 0.40824829046386296, -2.2662332591841973e-17, -1.1331166295920986e-17, -2.2662332591841973e-17, -0.408248290463863, 0.816496580927726, -0.4082482904638631]"
230.0 to 230.875,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",cMajor,0.816496580927726,"[0.816496580927726, -0.408248290463863, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -2.2662332591841973e-17, 0.0, -2.2662332591841973e-17, -4.5324665183683945e-17, -2.2662332591841973e-17, -2.2662332591841973e-17, -0.408248290463863, 0.408248290463863, -4.5324665183683945e-17, -0.408248290463863, 0.408248290463863, -2.2662332591841973e-17, -0.4082482904638631, -2.2662332591841973e-17, 0.408248290463863, -2.2662332591841973e-17, -0.408248290463863, 0.408248290463863, -0.408248290463863]"
231.0 to 231.875,"[2, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 0]",fMajor,0.8238415256818212,"[0.316862125262239, 0.06337242505244779, -0.1901172751573433, 0.06337242505244785, -0.4436069753671345, 0.8238415256818212, -0.1901172751573433, -0.1901172751573433, 0.06337242505244782, -0.19011727515734336, 0.316862125262239, -0.4436069753671345, 0.316862125262239, 0.316862125262239, -0.4436069753671345, 0.316862125262239, -0.4436069753671345, 0.316862125262239, -0.1901172751573433, -0.19011727515734336, 0.5703518254720301, -0.1901172751573433, 0.06337242505244785, -0.4436069753671345]"
232.0 to 232.875,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",fMajor,0.727606875108999,"[-0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, 0.08084520834544433, 0.4042260417272217, -0.24253562503633297, -0.24253562503633297, -0.24253562503633297, 0.727606875108999, -0.24253562503633297, -0.24253562503633297, 0.4042260417272217, 0.08084520834544433, -0.24253562503633297, -0.24253562503633297]"
233.75 to 233.75,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",gMajor,0.5222329678670937,"[-0.17407765595569788, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569788, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785, -0.17407765595569788, 0.5222329678670936, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, -0.17407765595569788, 0.5222329678670937, -0.17407765595569785]"
234.0 to 234.0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,1.0,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 1.0, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326]"
