,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_entireUnits,triadLabel,triadCoef,filename,abs_y_list
3036,165.0 to 165.875,"[0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",17,b-Major,0.6172133998483675,op1no1minuet.csv,"[1.0, 1.636915368707627, 1.9999999999999998, 2.23606797749979, 4.0, 6.109051323707207, 7.0, 6.109051323707207, 4.0, 2.23606797749979, 1.9999999999999998, 1.636915368707627]"
3037,166.0 to 166.5,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",9,dMajor,0.25819888974716104,op1no1minuet.csv,"[2.0, 1.5059711791502262, 0.9999999999999999, 2.0, 2.6457513110645907, 2.3941701709713277, 2.0, 2.3941701709713277, 2.6457513110645907, 2.0, 0.9999999999999999, 1.5059711791502262]"
3038,167.0 to 167.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",3,e-Minor,0.2581988897471611,op1no1minuet.csv,"[0.0, 2.9093129111764093, 2.6457513110645907, 1.4142135623730951, 1.7320508075688772, 1.2393136749274758, 2.0, 1.2393136749274758, 1.7320508075688772, 1.4142135623730951, 2.6457513110645907, 2.9093129111764093]"
3039,168.0 to 168.875,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,fMajor,0.7745966692414831,op1no1minuet.csv,"[0.0, 0.5176380902050414, 0.9999999999999999, 1.4142135623730951, 1.7320508075688772, 1.9318516525781364, 2.0, 1.9318516525781364, 1.7320508075688772, 1.4142135623730951, 0.9999999999999999, 0.5176380902050414]"
3040,169.0 to 169.0,"[1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0]",8,fMajor,0.6172133998483675,op1no1minuet.csv,"[2.0, 3.4641016151377544, 1.9999999999999998, 0.0, 1.9999999999999998, 3.4641016151377544, 2.0, 3.4641016151377544, 1.9999999999999998, 0.0, 1.9999999999999998, 3.4641016151377544]"
3041,170.0 to 170.0,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]",18,b-Major,0.9258200997725514,op1no1minuet.csv,"[0.0, 1.0, 1.0, 3.1622776601683795, 3.0, 1.0, 2.0, 1.0, 3.0, 3.1622776601683795, 1.0, 1.0]"
3042,171.0 to 171.0,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]",2,b-Major,0.9258200997725514,op1no1minuet.csv,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3043,172.0 to 172.625,"[1, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 0]",11,fMajor,0.6299407883487121,op1no1minuet.csv,"[2.0, 1.0, 1.0, 3.1622776601683795, 5.0, 1.0, 4.0, 1.0, 5.0, 3.1622776601683795, 1.0, 1.0]"
3044,173.0 to 173.5,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",13,fMinor,0.2581988897471611,op1no1minuet.csv,"[2.0, 3.7416573867739413, 3.9999999999999996, 1.4142135623730951, 2.0, 3.7416573867739413, 8.0, 3.7416573867739413, 2.0, 1.4142135623730951, 3.9999999999999996, 3.7416573867739413]"
3045,174.0 to 174.625,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]",10,b-Major,0.6793662204867574,op1no1minuet.csv,"[0.0, 3.605551275463989, 4.58257569495584, 4.0, 4.58257569495584, 3.605551275463989, 0.0, 3.605551275463989, 4.58257569495584, 4.0, 4.58257569495584, 3.605551275463989]"
3046,175.0 to 175.625,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]",2,b-Major,0.6793662204867574,op1no1minuet.csv,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3047,176.0 to 176.625,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]",3,e-Major,0.6793662204867574,op1no1minuet.csv,"[0.0, 1.9318516525781366, 1.0, 1.4142135623730951, 1.7320508075688772, 0.5176380902050415, 2.0, 0.5176380902050415, 1.7320508075688772, 1.4142135623730951, 1.0, 1.9318516525781366]"
3048,177.0 to 177.625,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 3, 0]",4,e-Major,0.5555555555555556,op1no1minuet.csv,"[2.0, 0.9999999999999999, 0.9999999999999999, 2.0, 0.9999999999999999, 0.9999999999999999, 2.0, 0.9999999999999999, 0.9999999999999999, 2.0, 0.9999999999999999, 0.9999999999999999]"
3049,178.0 to 178.625,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0]",3,e-Major,0.7453559924999298,op1no1minuet.csv,"[0.0, 1.9318516525781366, 1.0, 1.4142135623730951, 1.7320508075688772, 0.5176380902050414, 2.0, 0.5176380902050414, 1.7320508075688772, 1.4142135623730951, 1.0, 1.9318516525781366]"
3050,179.0 to 179.625,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0]",3,e-Major,0.7453559924999298,op1no1minuet.csv,"[0.0, 1.9318516525781364, 0.9999999999999999, 1.4142135623730951, 1.7320508075688772, 0.5176380902050415, 2.0, 0.5176380902050415, 1.7320508075688772, 1.4142135623730951, 0.9999999999999999, 1.9318516525781364]"
3051,180.0 to 180.625,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]",4,b-Major,0.9258200997725512,op1no1minuet.csv,"[2.0, 0.9999999999999999, 0.9999999999999999, 2.0, 0.9999999999999999, 0.9999999999999999, 2.0, 0.9999999999999999, 0.9999999999999999, 2.0, 0.9999999999999999, 0.9999999999999999]"
3052,181.0 to 181.625,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]",2,b-Major,0.9258200997725512,op1no1minuet.csv,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
