offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0,<music21.chord.Chord C5 E4 C4>,"[0, 4]","[0, 4]","[0, 4]",72,60,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
2,<music21.chord.Chord D5 G4 G3>,"[0, 5]","[2, 7]","[2, 7]",74,55,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
2.333333333,<music21.chord.Chord E5 G4 G3>,"[0, 3]","[4, 7]","[4, 7]",76,55,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
2.666666667,<music21.chord.Chord F5 G4 G3>,"[0, 2]","[5, 7]","[5, 7]",77,55,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
2.875,<music21.chord.Chord F5>,[0],[5],[5],77,77,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3,<music21.chord.Chord F5 C4 C3>,"[0, 5]","[0, 5]","[0, 5]",77,48,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3.5,<music21.chord.Chord E5 C4 C3>,"[0, 4]","[0, 4]","[0, 4]",76,48,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3.875,<music21.chord.Chord E5>,[0],[4],[4],76,76,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
4,<music21.chord.Chord A5>,[0],[9],[9],81,81,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
4.5,<music21.chord.Chord G5>,[0],[7],[7],79,79,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
5,<music21.chord.Chord G5>,[0],[7],[7],79,79,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
6,<music21.chord.Chord C6 C5>,[0],[0],[0],84,72,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
7,<music21.chord.Chord C6 C5 E4 E3>,"[0, 4]","[0, 4]","[0, 4]",84,52,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
7.75,<music21.chord.Chord B5 C5 E4 E3>,"[0, 1, 5]","[11, 0, 4]","[11, 0, 4]",83,52,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
7.875,<music21.chord.Chord B5 C5>,"[0, 1]","[11, 0]","[11, 0]",83,72,String Quartet Op1 No6 ii C major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
