offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
3,<music21.chord.Chord D5 D4 D3>,[0],[2],[0],74,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,[0]_0,0.927218273
4,<music21.chord.Chord D5 D4 F#3 F#4>,"[0, 4]","[2, 6]","[0, 4]",74,54,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[0, 4]_4",0.927218273
5,<music21.chord.Chord C#5 C#4 E3 E4>,"[0, 3]","[1, 4]","[11, 2]",73,52,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[11, 2]_2",0.927218273
5.5,<music21.chord.Chord E3 E4>,[0],[4],[2],64,52,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,[2]_2,0.927218273
6,<music21.chord.Chord E5 E4 A2 A3>,"[0, 5]","[4, 9]","[2, 7]",76,45,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[2, 7]_7",0.927218273
7,<music21.chord.Chord E5 E4 G3 G4>,"[0, 3]","[4, 7]","[2, 5]",76,55,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[2, 5]_5",0.927218273
7.5,<music21.chord.Chord C#5 C#4 G3 G4>,"[0, 6]","[1, 7]","[11, 5]",73,55,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[5, 11]_5",0.927218273
8,<music21.chord.Chord D5 D4 F#3 F#4>,"[0, 4]","[2, 6]","[0, 4]",74,54,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[0, 4]_4",0.927218273
9,<music21.chord.Chord A4>,[0],[9],[7],69,69,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,[7]_7,0.927218273
10,<music21.chord.Chord A4>,[0],[9],[7],69,69,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,[7]_7,0.948119669
11,<music21.chord.Chord A4>,[0],[9],[7],69,69,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,[7]_7,0.948119669
12,<music21.chord.Chord E5 E4 A2 A3>,"[0, 5]","[4, 9]","[2, 7]",76,45,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[2, 7]_7",0.948119669
13,<music21.chord.Chord E5 E4 G3 G4>,"[0, 3]","[4, 7]","[2, 5]",76,55,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[2, 5]_5",0.948119669
13.5,<music21.chord.Chord C#5 C#4 G3 G4>,"[0, 6]","[1, 7]","[11, 5]",73,55,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[5, 11]_5",0.948119669
14,<music21.chord.Chord D5 D4 F#3 F#4>,"[0, 4]","[2, 6]","[0, 4]",74,54,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[0, 4]_4",0.948119669
15,<music21.chord.Chord A4 A3 D3 D4>,"[0, 5]","[9, 2]","[7, 0]",69,50,String Quartet Op2 No2 Hob3-8 (Arrangement) ii D major.mid,Haydn,2,major,"[7, 0]_0",0.948119669
