offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0,<music21.chord.Chord F5 F4>,[0],[5],[7],77,65,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
1,<music21.chord.Chord B-5 B-4>,[0],[10],[0],82,70,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
2,<music21.chord.Chord B-5 B-4>,[0],[10],[0],82,70,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3,<music21.chord.Chord B-5 B-4 B-3 B-2>,[0],[10],[0],82,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,Ambiguous,Ambiguous,Ambiguous,0
3.25,<music21.chord.Chord B-3 B-2>,[0],[10],[0],58,46,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[0]_0,0.917647704
4,<music21.chord.Chord B-5 B-4 F4 F3>,"[0, 5]","[5, 10]","[7, 0]",82,53,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[7, 0]_7",0.917647704
4.5,<music21.chord.Chord A5 A4 F4 F3>,"[0, 4]","[5, 9]","[7, 11]",81,53,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[7, 11]_7",0.942949574
4.875,<music21.chord.Chord A5 A4>,[0],[9],[11],81,69,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[11]_11,0.942949574
5,<music21.chord.Chord A5 A4 F4 F3>,"[0, 4]","[5, 9]","[7, 11]",81,53,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[7, 11]_7",0.942949574
6,<music21.chord.Chord B-5 B-4 G4 G3>,"[0, 3]","[7, 10]","[9, 0]",82,55,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[9, 0]_9",0.942949574
7,<music21.chord.Chord C6 C5 E-4 E-3>,"[0, 3]","[0, 3]","[2, 5]",84,51,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[2, 5]_5",0.942949574
8.5,<music21.chord.Chord B-5 B-4 E-4 E-3>,"[0, 5]","[10, 3]","[0, 5]",82,51,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,"[0, 5]_5",0.942949574
8.75,<music21.chord.Chord B-5 B-4>,[0],[10],[0],82,70,String Quartet Op1 No1 iv Bb major.mid,Haydn,10,major,[0]_0,0.942949574
