offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0,<music21.chord.Chord F#4 D5 D4 D3>,"[0, 4]","[2, 6]","[0, 4]",74,50,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[0, 4]_0",0.839754156
2,<music21.chord.Chord E5 C#5 A3 A2>,"[0, 4, 7]","[9, 1, 4]","[7, 11, 2]",76,45,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[7, 11, 2]_7",0.943245708
2.333333333,<music21.chord.Chord F#5 D5 A3 A2>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",78,45,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[0, 4, 7]_7",0.943245708
2.666666667,<music21.chord.Chord G5 E5 A3 A2>,"[0, 3, 5]","[4, 7, 9]","[2, 5, 7]",79,45,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[2, 5, 7]_7",0.943245708
2.875,<music21.chord.Chord G5 E5>,"[0, 3]","[4, 7]","[2, 5]",79,76,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[2, 5]_2",0.943245708
3,<music21.chord.Chord G5 D5 D4 D3>,"[0, 5]","[2, 7]","[0, 5]",79,50,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[0, 5]_0",0.943245708
3.5,<music21.chord.Chord F#5 D5 D4 D3>,"[0, 4]","[2, 6]","[0, 4]",78,50,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[0, 4]_0",0.943245708
3.875,<music21.chord.Chord F#5>,[0],[6],[4],78,78,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,[4]_4,0.943245708
4,<music21.chord.Chord E5>,[0],[4],[2],76,76,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,[2]_2,0.943245708
4.5,<music21.chord.Chord D5>,[0],[2],[0],74,74,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,[0]_0,0.943245708
5,<music21.chord.Chord C#5>,[0],[1],[11],73,73,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,[11]_11,0.943245708
5.5,<music21.chord.Chord B4>,[0],[11],[9],71,71,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,[9]_9,0.943245708
6,<music21.chord.Chord B4 G4>,"[0, 4]","[7, 11]","[5, 9]",71,67,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[5, 9]_5",0.943245708
6.5,<music21.chord.Chord A4 F#4>,"[0, 3]","[6, 9]","[4, 7]",69,66,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[4, 7]_4",0.943245708
7,<music21.chord.Chord A4 F#4>,"[0, 3]","[6, 9]","[4, 7]",69,66,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[4, 7]_4",0.943245708
7.5,<music21.chord.Chord G4 E4>,"[0, 3]","[4, 7]","[2, 5]",67,64,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[2, 5]_2",0.943245708
8,<music21.chord.Chord G4 E4>,"[0, 3]","[4, 7]","[2, 5]",67,64,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[2, 5]_2",0.943245708
8.5,<music21.chord.Chord F#4 D4>,"[0, 4]","[2, 6]","[0, 4]",66,62,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[0, 4]_0",0.943245708
9,<music21.chord.Chord E4 C#4 A4 A3>,"[0, 4, 7]","[9, 1, 4]","[7, 11, 2]",69,57,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[7, 11, 2]_7",0.943245708
9.875,<music21.chord.Chord E4 C#4>,"[0, 3]","[1, 4]","[11, 2]",64,61,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[11, 2]_11",0.937980888
10,<music21.chord.Chord E4 C#4 A3 A2>,"[0, 4, 7]","[9, 1, 4]","[7, 11, 2]",64,45,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[7, 11, 2]_7",0.937980888
10.5,<music21.chord.Chord F#4 D4 A3 A2>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",66,45,String Quartet Op1 No3 ii D major.mid,Haydn,2,major,"[0, 4, 7]_7",0.937980888
